"PolNum","CalYear","Gender","Type","Category","Occupation","Age","Group1","Bonus","Poldur","Value","Adind","SubGroup2","Group2","Density","Exppdays","Numtppd","Numtpbi","Indtppd","Indtpbi","Exposure","ClaimNb","ClaimTotal","ClaimFrequency","PurePremium"
200114885,2009,"Male","F","Large","Employed",44,4,100,2,1035,1,"L105","L",60.07300249,246,0,0,0,0,0.673972602739726,0,0,0,0
200114886,2009,"Male","A","Medium","Retired",46,15,-50,11,24980,1,"L94","L",84.22903844,275,0,0,0,0,0.753424657534247,0,0,0,0
200114887,2009,"Female","D","Small","Employed",27,11,10,9,8685,1,"L135","L",40.0945365,365,0,0,0,0,1,0,0,0,0
200114888,2009,"Male","C","Medium","Employed",45,19,-40,2,4565,1,"Q63","Q",125.9456252,365,0,0,0,0,1,0,0,0,0
200114889,2009,"Male","B","Large","Unemployed",41,10,-40,10,43135,1,"R18","R",284.1301175,365,0,0,0,0,1,0,0,0,0
200114890,2009,"Female","F","Small","Employed",29,17,30,7,1525,0,"R45","R",225.0430894,365,1,0,803.29974915,0,1,1,803.29974915,1,803.29974915
200114891,2009,"Female","E","Medium","Self-employed",37,5,-50,2,20205,1,"Q9","Q",139.637282,365,0,0,0,0,1,0,0,0,0
200114892,2009,"Female","D","Medium","Housewife",27,12,110,0,8970,0,"L19","L",50.01092548,236,0,0,0,0,0.646575342465753,0,0,0,0
200114893,2009,"Male","D","Small","Employed",29,15,20,10,13350,0,"Q30","Q",222.2151274,365,0,0,0,0,1,0,0,0,0
200114894,2009,"Male","A","Small","Self-employed",47,17,20,12,18480,1,"M16","M",129.4194752,365,1,0,867.68309782,0,1,1,867.68309782,1,867.68309782
200114895,2009,"Female","C","Large","Employed",47,11,-10,7,8690,0,"R20","R",290.1327193,365,2,0,1745.5027113,0,1,2,1745.5027113,2,1745.5027113
200114896,2009,"Female","E","Medium","Employed",46,7,-50,3,2945,1,"R36","R",276.3355652,365,0,0,0,0,1,0,0,0,0
200114897,2009,"Female","D","Large","Retired",65,12,-50,7,15550,1,"T6","T",32.4149606,365,0,0,0,0,1,0,0,0,0
200114898,2009,"Male","C","Large","Self-employed",66,6,-30,4,16010,0,"Q14","Q",160.3435748,206,0,0,0,0,0.564383561643836,0,0,0,0
200114899,2009,"Female","D","Medium","Employed",40,4,-50,5,17900,1,"T19","T",18.23804646,365,0,0,0,0,1,0,0,0,0
200114900,2009,"Female","B","Large","Employed",48,13,-50,1,4080,0,"R34","R",276.9950185,365,0,0,0,0,1,0,0,0,0
200114901,2009,"Male","A","Medium","Housewife",74,15,-40,10,43235,0,"N13","N",94.29603751,365,0,0,0,0,1,0,0,0,0
200114902,2009,"Male","D","Medium","Self-employed",41,12,-50,1,9595,1,"L29","L",66.94554904,365,0,0,0,0,1,0,0,0,0
200114903,2009,"Male","B","Medium","Employed",25,9,-40,0,6220,0,"M16","M",129.4194752,365,0,0,0,0,1,0,0,0,0
200114904,2009,"Male","C","Medium","Unemployed",31,6,-10,11,17820,0,"T26","T",37.63520484,195,0,0,0,0,0.534246575342466,0,0,0,0
200114905,2009,"Female","C","Small","Self-employed",41,9,50,1,8265,1,"L7","L",55.29380019,365,0,0,0,0,1,0,0,0,0
200114906,2009,"Female","B","Medium","Unemployed",35,16,120,0,6115,1,"N11","N",88.89623143,365,1,0,1648.2220518,0,1,1,1648.2220518,1,1648.2220518
200114907,2009,"Male","B","Small","Self-employed",60,19,-30,8,28920,0,"R45","R",225.0430894,365,0,0,0,0,1,0,0,0,0
200114908,2009,"Male","A","Medium","Housewife",43,3,-30,6,7230,0,"L87","L",87.83581964,365,0,0,0,0,1,0,0,0,0
200114909,2009,"Female","C","Large","Housewife",57,8,-40,13,16925,0,"M4","M",190.0515645,317,0,0,0,0,0.868493150684931,0,0,0,0
200114910,2009,"Female","A","Medium","Housewife",46,7,-50,4,11965,0,"R47","R",249.7835716,365,1,0,406.54723376,0,1,1,406.54723376,1,406.54723376
200114911,2009,"Male","D","Medium","Housewife",29,17,0,7,22880,0,"U12","U",54.93181221,365,0,0,0,0,1,0,0,0,0
200114912,2009,"Male","E","Small","Employed",20,1,-10,15,4760,0,"R29","R",291.3194903,301,0,1,0,9883.4628231,0.824657534246575,0,0,0,0
200114913,2009,"Male","A","Small","Housewife",29,17,150,7,19990,1,"T11","T",28.61559614,117,1,0,190.43661962,0,0.320547945205479,1,190.43661962,3.11965811965812,594.097146677778
200114914,2009,"Male","D","Small","Housewife",42,8,-50,2,7260,0,"Q6","Q",70.86106124,365,0,0,0,0,1,0,0,0,0
200114915,2009,"Male","D","Large","Housewife",46,6,-50,0,7140,1,"L130","L",78.33993486,190,0,0,0,0,0.520547945205479,0,0,0,0
200114916,2009,"Female","C","Medium","Employed",29,7,10,0,17805,0,"L85","L",61.51657295,365,0,0,0,0,1,0,0,0,0
200114917,2009,"Female","D","Medium","Retired",68,16,-40,11,20840,1,"P6","P",30.37476431,365,0,0,0,0,1,0,0,0,0
200114918,2009,"Female","A","Large","Housewife",30,18,-50,10,13005,1,"Q63","Q",125.9456252,365,0,0,0,0,1,0,0,0,0
200114919,2009,"Male","C","Medium","Retired",69,9,-50,12,27715,1,"Q23","Q",205.4307964,365,1,0,3839.4812707,0,1,1,3839.4812707,1,3839.4812707
200114920,2009,"Male","A","Medium","Unemployed",43,16,120,11,14330,1,"R11","R",259.0040603,365,3,0,1409.9527322,0,1,3,1409.9527322,3,1409.9527322
200114921,2009,"Female","B","Large","Retired",61,13,80,14,12555,1,"R40","R",284.9991194,249,1,0,325.51155478,0,0.682191780821918,1,325.51155478,1.46586345381526,477.155491946586
200114922,2009,"Male","B","Small","Housewife",33,5,10,7,10605,1,"U7","U",103.9493988,365,0,0,0,0,1,0,0,0,0
200114923,2009,"Female","B","Medium","Self-employed",34,13,-50,9,9240,0,"R8","R",253.6198858,365,0,0,0,0,1,0,0,0,0
200114924,2009,"Male","B","Large","Retired",66,16,-50,4,28120,1,"R36","R",276.3355652,365,0,0,0,0,1,0,0,0,0
200114925,2009,"Male","C","Large","Unemployed",20,8,-10,8,18530,0,"N25","N",25.83086908,365,1,0,1650.6473224,0,1,1,1650.6473224,1,1650.6473224
200114926,2009,"Female","B","Small","Unemployed",29,11,140,0,9510,1,"O11","O",49.11503947,365,0,0,0,0,1,0,0,0,0
200114927,2009,"Male","F","Small","Self-employed",51,11,-50,0,23935,0,"N15","N",113.2248348,365,0,0,0,0,1,0,0,0,0
200114928,2009,"Male","A","Small","Unemployed",35,17,-30,13,17790,0,"L15","L",54.19066433,365,0,0,0,0,1,0,0,0,0
200114929,2009,"Male","C","Medium","Employed",52,5,-10,13,11135,1,"R32","R",232.9029787,365,0,0,0,0,1,0,0,0,0
200114930,2009,"Male","E","Medium","Self-employed",46,6,-50,0,8030,1,"Q49","Q",91.28099321,365,0,0,0,0,1,0,0,0,0
200114931,2009,"Male","B","Large","Employed",30,8,-50,6,14995,0,"R33","R",297.3851697,201,0,0,0,0,0.550684931506849,0,0,0,0
200114932,2009,"Male","A","Small","Unemployed",27,3,20,3,13800,0,"Q60","Q",112.4047945,183,0,0,0,0,0.501369863013699,0,0,0,0
200114933,2009,"Male","A","Large","Housewife",51,1,-30,0,4320,1,"Q15","Q",147.9690558,365,0,0,0,0,1,0,0,0,0
200114934,2009,"Male","D","Large","Retired",71,6,-30,15,1885,0,"Q34","Q",212.4247054,187,0,0,0,0,0.512328767123288,0,0,0,0
200114935,2009,"Female","C","Large","Retired",74,15,-40,1,17290,1,"R17","R",221.7063984,365,0,0,0,0,1,0,0,0,0
200114936,2009,"Female","B","Large","Self-employed",50,14,10,4,18045,0,"L6","L",58.89468755,195,0,0,0,0,0.534246575342466,0,0,0,0
200114937,2009,"Male","B","Large","Self-employed",26,11,40,14,5780,1,"L8","L",59.70218923,365,0,0,0,0,1,0,0,0,0
200114938,2009,"Male","C","Large","Employed",38,16,-40,0,31160,1,"N18","N",103.2132915,365,0,0,0,0,1,0,0,0,0
200114939,2009,"Female","D","Small","Unemployed",19,13,-10,0,18570,0,"L84","L",129.6779531,365,0,0,0,0,1,0,0,0,0
200114940,2009,"Male","C","Large","Retired",69,9,-50,4,9815,1,"R11","R",259.0040603,365,0,0,0,0,1,0,0,0,0
200114941,2009,"Female","B","Medium","Unemployed",43,9,-10,2,17515,1,"M9","M",156.6298557,110,0,0,0,0,0.301369863013699,0,0,0,0
200114942,2009,"Female","A","Medium","Employed",50,6,-30,0,21935,1,"Q22","Q",144.998902,302,1,0,268.43693055,0,0.827397260273973,1,268.43693055,1.20860927152318,324.435363081954
200114943,2009,"Male","C","Medium","Retired",73,17,-40,0,25010,1,"R47","R",249.7835716,365,0,1,0,255.25290736,1,0,0,0,0
200114944,2009,"Male","A","Medium","Employed",22,10,-40,10,7970,0,"M20","M",148.9956325,185,0,0,0,0,0.506849315068493,0,0,0,0
200114945,2009,"Female","E","Large","Housewife",72,5,-40,3,6235,1,"R28","R",256.6405915,365,0,0,0,0,1,0,0,0,0
200114946,2009,"Female","D","Small","Employed",25,14,-50,0,4795,0,"L25","L",61.11231366,242,0,0,0,0,0.663013698630137,0,0,0,0
200114947,2009,"Male","A","Small","Housewife",71,14,-40,10,32955,1,"R26","R",295.7970919,365,0,0,0,0,1,0,0,0,0
200114948,2009,"Male","E","Small","Self-employed",40,13,-20,3,23645,1,"L105","L",60.07300249,365,0,0,0,0,1,0,0,0,0
200114949,2009,"Male","F","Large","Self-employed",48,14,-50,2,21215,0,"P12","P",36.54260314,365,0,0,0,0,1,0,0,0,0
200114950,2009,"Male","B","Large","Housewife",72,16,40,2,14505,1,"S9","S",31.84882285,365,0,0,0,0,1,0,0,0,0
200114951,2009,"Female","D","Small","Unemployed",28,18,0,12,16800,0,"Q18","Q",211.8309492,365,0,0,0,0,1,0,0,0,0
200114952,2009,"Female","D","Large","Retired",66,17,-20,2,1770,1,"T23","T",23.03273294,365,0,0,0,0,1,0,0,0,0
200114953,2009,"Male","C","Small","Employed",37,13,-50,11,10990,1,"M2","M",139.2830008,365,0,0,0,0,1,0,0,0,0
200114954,2009,"Male","A","Small","Employed",25,18,-30,9,17620,0,"N17","N",137.8151761,190,0,0,0,0,0.520547945205479,0,0,0,0
200114955,2009,"Male","F","Small","Unemployed",40,14,100,3,19160,0,"U5","U",46.84863153,365,0,0,0,0,1,0,0,0,0
200114956,2009,"Male","B","Medium","Employed",25,16,0,1,29030,0,"L9","L",51.09148195,365,2,0,1771.6111533,0,1,2,1771.6111533,2,1771.6111533
200114957,2009,"Female","A","Large","Employed",35,8,10,2,11575,0,"Q41","Q",213.2556548,365,0,0,0,0,1,0,0,0,0
200114958,2009,"Male","B","Large","Employed",53,11,-20,7,15560,1,"L83","L",69.72819603,281,0,0,0,0,0.76986301369863,0,0,0,0
200114959,2009,"Female","D","Medium","Self-employed",33,2,-50,6,29380,1,"R32","R",232.9029787,365,0,0,0,0,1,0,0,0,0
200114960,2009,"Male","B","Large","Employed",23,17,20,4,27975,1,"S25","S",31.81625935,151,0,0,0,0,0.413698630136986,0,0,0,0
200114961,2009,"Male","C","Medium","Employed",33,12,-50,11,34425,1,"R25","R",270.874006,365,0,0,0,0,1,0,0,0,0
200114962,2009,"Male","E","Large","Retired",65,13,-30,6,26790,0,"M1","M",107.8170529,365,0,0,0,0,1,0,0,0,0
200114963,2009,"Male","B","Large","Retired",54,17,-20,1,9345,0,"M17","M",201.6569069,365,0,0,0,0,1,0,0,0,0
200114964,2009,"Male","F","Large","Self-employed",57,8,-30,7,16935,1,"S10","S",21.95355362,365,0,0,0,0,1,0,0,0,0
200114965,2009,"Male","D","Medium","Employed",21,11,0,8,27735,0,"Q13","Q",166.5549379,293,0,0,0,0,0.802739726027397,0,0,0,0
200114966,2009,"Male","F","Medium","Retired",62,7,-50,0,20885,1,"Q51","Q",141.4896565,365,0,0,0,0,1,0,0,0,0
200114967,2009,"Male","F","Large","Retired",46,14,-50,12,9165,1,"R27","R",250.8413259,365,0,0,0,0,1,0,0,0,0
200114968,2009,"Male","A","Large","Retired",63,4,-30,9,9700,1,"O26","O",36.9071711,365,0,0,0,0,1,0,0,0,0
200114969,2009,"Male","B","Large","Self-employed",49,6,0,9,2080,1,"R28","R",256.6405915,205,0,0,0,0,0.561643835616438,0,0,0,0
200114970,2009,"Male","D","Medium","Self-employed",46,12,-20,0,17730,0,"U7","U",103.9493988,365,0,0,0,0,1,0,0,0,0
200114971,2009,"Female","F","Large","Housewife",49,9,-20,0,26285,0,"R1","R",222.711392,365,0,0,0,0,1,0,0,0,0
200114972,2009,"Male","A","Large","Employed",49,9,20,15,6085,0,"R47","R",249.7835716,365,0,0,0,0,1,0,0,0,0
200114973,2009,"Female","B","Medium","Unemployed",22,11,70,15,10965,0,"T6","T",32.4149606,365,0,1,0,26.639242134,1,0,0,0,0
200114974,2009,"Female","A","Medium","Employed",18,7,0,4,7015,0,"U7","U",103.9493988,135,0,0,0,0,0.36986301369863,0,0,0,0
200114975,2009,"Male","B","Large","Housewife",26,4,-50,9,11515,0,"R44","R",237.4189585,365,0,0,0,0,1,0,0,0,0
200114976,2009,"Female","E","Large","Housewife",59,16,-50,10,14100,1,"Q47","Q",208.6667182,365,0,0,0,0,1,0,0,0,0
200114977,2009,"Female","C","Medium","Self-employed",49,15,-50,1,47760,0,"L2","L",44.79860971,329,0,0,0,0,0.901369863013699,0,0,0,0
200114978,2009,"Male","C","Large","Employed",25,18,90,3,15080,0,"L46","L",72.01288299,365,1,0,362.61951909,0,1,1,362.61951909,1,362.61951909
200114979,2009,"Female","B","Small","Unemployed",24,9,-30,10,3820,1,"R32","R",232.9029787,365,0,0,0,0,1,0,0,0,0
200114980,2009,"Male","F","Large","Unemployed",39,10,30,5,12180,1,"R46","R",218.9832303,365,0,0,0,0,1,0,0,0,0
200114981,2009,"Female","B","Medium","Unemployed",54,16,50,2,8670,0,"R38","R",284.2162652,352,0,0,0,0,0.964383561643836,0,0,0,0
200114982,2009,"Female","D","Medium","Housewife",38,11,-20,4,14235,1,"L40","L",76.05272599,365,0,0,0,0,1,0,0,0,0
200114983,2009,"Female","C","Medium","Unemployed",49,11,-40,10,4790,0,"Q11","Q",73.18307109,365,0,1,0,1531.8860827,1,0,0,0,0
200114984,2009,"Male","A","Large","Housewife",60,17,60,0,39810,0,"N22","N",100.833778,365,0,0,0,0,1,0,0,0,0
200114985,2009,"Female","C","Small","Employed",59,10,10,6,5400,1,"T29","T",30.46244233,193,0,0,0,0,0.528767123287671,0,0,0,0
200114986,2009,"Male","A","Small","Unemployed",25,13,0,10,9810,0,"U20","U",58.60474559,162,0,0,0,0,0.443835616438356,0,0,0,0
200114987,2009,"Female","C","Large","Self-employed",36,15,30,9,23565,1,"Q26","Q",237.675525,365,0,0,0,0,1,0,0,0,0
200114988,2009,"Male","A","Small","Unemployed",38,12,-10,9,18065,0,"M9","M",156.6298557,365,0,0,0,0,1,0,0,0,0
200114989,2009,"Male","D","Large","Retired",61,11,-50,0,9435,1,"L100","L",60.86038525,365,0,0,0,0,1,0,0,0,0
200114990,2009,"Male","D","Large","Housewife",57,1,-50,0,19295,1,"L2","L",44.79860971,365,0,0,0,0,1,0,0,0,0
200114991,2009,"Male","C","Small","Unemployed",20,14,0,0,44665,0,"L69","L",81.90993935,365,0,0,0,0,1,0,0,0,0
200114992,2009,"Female","A","Medium","Retired",47,4,-50,0,2655,1,"Q39","Q",171.3729361,365,0,0,0,0,1,0,0,0,0
200114993,2009,"Female","C","Large","Self-employed",37,11,-50,9,29110,1,"L92","L",73.85052034,209,0,0,0,0,0.572602739726027,0,0,0,0
200114994,2009,"Male","E","Large","Employed",20,11,30,2,22370,1,"O38","O",39.55041059,365,1,0,495.59481721,0,1,1,495.59481721,1,495.59481721
200114995,2009,"Male","D","Large","Retired",74,15,-40,10,3550,1,"L87","L",87.83581964,365,0,0,0,0,1,0,0,0,0
200114996,2009,"Female","C","Large","Retired",72,13,-40,7,21940,0,"L44","L",65.3447011,365,0,0,0,0,1,0,0,0,0
200114997,2009,"Male","E","Small","Self-employed",45,11,-30,6,13690,1,"Q45","Q",98.10372854,365,0,0,0,0,1,0,0,0,0
200114998,2009,"Female","C","Small","Employed",23,16,130,7,44325,0,"R38","R",284.2162652,365,0,1,0,128.22842338,1,0,0,0,0
200114999,2009,"Male","F","Medium","Retired",56,6,-40,2,18490,0,"L10","L",61.56398846,365,0,0,0,0,1,0,0,0,0
200115000,2009,"Male","C","Large","Retired",65,8,-50,15,21690,0,"R20","R",290.1327193,220,0,0,0,0,0.602739726027397,0,0,0,0
200115001,2009,"Female","E","Large","Unemployed",42,11,150,0,39650,0,"Q28","Q",169.5291484,365,2,0,1178.3822719,0,1,2,1178.3822719,2,1178.3822719
200115002,2009,"Female","B","Large","Self-employed",49,4,-40,4,24355,0,"O31","O",35.43401501,232,0,0,0,0,0.635616438356164,0,0,0,0
200115003,2009,"Male","A","Medium","Employed",54,13,-50,0,28840,1,"U8","U",125.1320458,365,0,0,0,0,1,0,0,0,0
200115004,2009,"Female","A","Medium","Employed",32,7,-10,0,9015,0,"Q1","Q",114.1413271,312,0,0,0,0,0.854794520547945,0,0,0,0
200115005,2009,"Female","B","Large","Self-employed",32,10,60,5,18040,0,"L70","L",44.37542252,365,0,0,0,0,1,0,0,0,0
200115006,2009,"Male","F","Medium","Employed",47,10,-30,3,6285,1,"S30","S",35.57652753,365,0,0,0,0,1,0,0,0,0
200115007,2009,"Male","D","Large","Unemployed",53,15,0,1,16215,1,"U6","U",76.98652096,365,0,0,0,0,1,0,0,0,0
200115008,2009,"Male","A","Large","Self-employed",31,5,-50,0,6350,1,"Q12","Q",167.9366556,365,0,0,0,0,1,0,0,0,0
200115009,2009,"Female","A","Large","Self-employed",43,14,-40,4,16845,1,"L98","L",106.5803023,365,0,0,0,0,1,0,0,0,0
200115010,2009,"Male","E","Medium","Employed",48,13,-10,7,17770,1,"Q1","Q",114.1413271,286,0,0,0,0,0.783561643835616,0,0,0,0
200115011,2009,"Female","C","Medium","Housewife",21,5,0,0,12600,1,"L6","L",58.89468755,365,1,0,283.30576126,0,1,1,283.30576126,1,283.30576126
200115012,2009,"Male","D","Medium","Unemployed",30,1,50,13,9675,1,"T4","T",23.97168003,365,0,0,0,0,1,0,0,0,0
200115013,2009,"Male","D","Medium","Employed",41,10,-50,11,4915,1,"Q29","Q",239.4551701,365,0,0,0,0,1,0,0,0,0
200115014,2009,"Male","B","Large","Self-employed",66,15,-50,3,8370,1,"R14","R",275.0923407,365,0,0,0,0,1,0,0,0,0
200115015,2009,"Female","D","Large","Employed",33,12,30,10,9065,0,"N4","N",109.6318854,365,2,0,417.95558798,0,1,2,417.95558798,2,417.95558798
200115016,2009,"Female","D","Small","Employed",26,13,40,7,27335,1,"N16","N",47.98269849,365,1,0,119.03499936,0,1,1,119.03499936,1,119.03499936
200115017,2009,"Female","A","Medium","Retired",55,14,-40,0,36055,1,"L47","L",66.76541883,234,0,0,0,0,0.641095890410959,0,0,0,0
200115018,2009,"Male","A","Large","Unemployed",41,8,-50,12,24985,1,"U19","U",61.79475865,159,0,0,0,0,0.435616438356164,0,0,0,0
200115019,2009,"Male","F","Medium","Unemployed",34,19,-50,8,9405,1,"O17","O",24.11879116,139,0,0,0,0,0.380821917808219,0,0,0,0
200115020,2009,"Female","E","Small","Unemployed",30,5,-50,6,9475,1,"Q51","Q",141.4896565,365,0,0,0,0,1,0,0,0,0
200115021,2009,"Female","C","Medium","Unemployed",49,14,-40,5,19035,1,"P19","P",24.82652767,365,0,0,0,0,1,0,0,0,0
200115022,2009,"Female","A","Small","Employed",19,4,0,12,2970,0,"Q7","Q",83.76263662,365,0,0,0,0,1,0,0,0,0
200115023,2009,"Female","C","Small","Unemployed",20,7,80,13,7710,0,"Q65","Q",77.73738533,365,1,0,1302.0362651,0,1,1,1302.0362651,1,1302.0362651
200115024,2009,"Male","B","Large","Retired",54,15,60,0,45810,0,"S35","S",19.2164848,365,0,0,0,0,1,0,0,0,0
200115025,2009,"Male","D","Medium","Unemployed",37,16,-30,10,10195,0,"L99","L",100.9312267,365,0,0,0,0,1,0,0,0,0
200115026,2009,"Male","A","Small","Housewife",40,13,-50,3,10270,1,"S14","S",25.91743539,365,0,0,0,0,1,0,0,0,0
200115027,2009,"Male","D","Small","Employed",22,11,60,0,11790,1,"L113","L",55.96459579,180,0,0,0,0,0.493150684931507,0,0,0,0
200115028,2009,"Male","B","Medium","Housewife",33,14,30,1,20190,1,"S30","S",35.57652753,365,0,0,0,0,1,0,0,0,0
200115029,2009,"Male","D","Small","Employed",35,16,-30,9,4065,1,"Q49","Q",91.28099321,181,0,0,0,0,0.495890410958904,0,0,0,0
200115030,2009,"Male","A","Large","Self-employed",48,10,30,1,29695,0,"P19","P",24.82652767,365,0,0,0,0,1,0,0,0,0
200115031,2009,"Female","D","Medium","Unemployed",22,2,10,7,21700,0,"Q43","Q",182.367931,365,0,1,0,5404.7388314,1,0,0,0,0
200115032,2009,"Male","D","Large","Retired",69,9,-40,10,2110,1,"R34","R",276.9950185,207,0,0,0,0,0.567123287671233,0,0,0,0
200115033,2009,"Male","D","Small","Employed",26,12,-20,1,16700,1,"L84","L",129.6779531,365,0,0,0,0,1,0,0,0,0
200115034,2009,"Male","D","Medium","Housewife",32,12,50,5,23805,1,"L16","L",66.46782671,116,0,0,0,0,0.317808219178082,0,0,0,0
200115035,2009,"Female","B","Large","Unemployed",32,11,-50,7,17165,0,"L99","L",100.9312267,365,0,0,0,0,1,0,0,0,0
200115036,2009,"Female","A","Small","Employed",23,6,-20,14,9305,0,"O17","O",24.11879116,181,0,0,0,0,0.495890410958904,0,0,0,0
200115037,2009,"Female","B","Small","Housewife",61,18,-50,15,22840,1,"M10","M",94.36462339,365,0,0,0,0,1,0,0,0,0
200115038,2009,"Male","A","Small","Employed",42,9,-50,9,12265,0,"R11","R",259.0040603,365,0,0,0,0,1,0,0,0,0
200115039,2009,"Male","F","Small","Employed",20,4,0,14,5345,1,"Q40","Q",189.9730181,138,0,0,0,0,0.378082191780822,0,0,0,0
200115040,2009,"Male","B","Large","Self-employed",58,10,60,4,13975,1,"L116","L",100.3048589,365,0,0,0,0,1,0,0,0,0
200115041,2009,"Male","A","Large","Self-employed",53,8,-50,12,10255,1,"Q16","Q",207.1446249,365,0,0,0,0,1,0,0,0,0
200115042,2009,"Female","D","Large","Employed",29,13,-40,1,21745,0,"N8","N",106.5583041,305,0,0,0,0,0.835616438356164,0,0,0,0
200115043,2009,"Female","B","Medium","Employed",29,3,-20,12,8965,0,"R19","R",272.9669948,365,1,0,2873.9964765,0,1,1,2873.9964765,1,2873.9964765
200115044,2009,"Male","C","Medium","Housewife",34,13,-30,1,13805,0,"Q1","Q",114.1413271,365,0,0,0,0,1,0,0,0,0
200115045,2009,"Male","B","Large","Unemployed",49,10,-50,1,9570,0,"Q27","Q",122.4496948,365,0,0,0,0,1,0,0,0,0
200115046,2009,"Male","C","Large","Housewife",51,12,-50,8,12295,1,"N7","N",88.95152383,365,0,0,0,0,1,0,0,0,0
200115047,2009,"Male","F","Large","Employed",43,8,-50,2,20055,0,"Q21","Q",201.3918071,365,0,0,0,0,1,0,0,0,0
200115048,2009,"Male","E","Medium","Unemployed",31,3,-40,10,21030,1,"R9","R",251.432848,355,1,0,131.88431387,0,0.972602739726027,1,131.88431387,1.02816901408451,135.59936496493
200115049,2009,"Male","D","Medium","Retired",67,16,-20,14,22560,0,"L117","L",85.63166734,365,0,0,0,0,1,0,0,0,0
200115050,2009,"Male","A","Large","Self-employed",58,4,150,0,3810,1,"L55","L",91.55064058,352,0,0,0,0,0.964383561643836,0,0,0,0
200115051,2009,"Female","A","Large","Unemployed",54,11,-30,9,8245,0,"M12","M",216.4916013,137,0,0,0,0,0.375342465753425,0,0,0,0
200115052,2009,"Female","B","Large","Housewife",63,19,-30,3,38265,1,"Q60","Q",112.4047945,187,0,1,0,960.71914013,0.512328767123288,0,0,0,0
200115053,2009,"Female","A","Small","Employed",42,15,-50,4,12575,1,"R30","R",296.4319078,309,0,0,0,0,0.846575342465753,0,0,0,0
200115054,2009,"Male","A","Medium","Retired",48,11,-40,0,8310,0,"Q58","Q",129.3156084,365,0,0,0,0,1,0,0,0,0
200115055,2009,"Male","E","Medium","Unemployed",27,9,-20,2,8265,0,"L18","L",58.91132801,365,0,0,0,0,1,0,0,0,0
200115056,2009,"Female","B","Medium","Unemployed",18,14,0,15,47560,1,"Q59","Q",95.69355223,365,0,0,0,0,1,0,0,0,0
200115057,2009,"Female","A","Medium","Unemployed",22,6,80,6,27770,1,"Q64","Q",132.7922667,365,0,0,0,0,1,0,0,0,0
200115058,2009,"Male","E","Medium","Housewife",65,3,120,6,45825,1,"U13","U",112.8034383,365,0,0,0,0,1,0,0,0,0
200115059,2009,"Female","D","Small","Employed",54,7,-40,5,2690,1,"P10","P",29.43246223,365,0,0,0,0,1,0,0,0,0
200115060,2009,"Male","B","Medium","Housewife",58,8,60,6,8630,1,"N18","N",103.2132915,365,0,0,0,0,1,0,0,0,0
200115061,2009,"Female","A","Medium","Employed",33,3,-50,1,9095,1,"Q47","Q",208.6667182,352,0,0,0,0,0.964383561643836,0,0,0,0
200115062,2009,"Male","D","Medium","Employed",57,9,-30,1,19560,1,"P34","P",47.5930722,365,0,1,0,2409.6524526,1,0,0,0,0
200115063,2009,"Male","D","Medium","Employed",35,7,120,1,19995,1,"Q22","Q",144.998902,365,1,0,8.9102846423,0,1,1,8.9102846423,1,8.9102846423
