feature,group
SubGroup2_P28,SubGroup2
SubGroup2_P29,SubGroup2
SubGroup2_P3,SubGroup2
SubGroup2_P30,SubGroup2
SubGroup2_P31,SubGroup2
SubGroup2_P32,SubGroup2
SubGroup2_P33,SubGroup2
SubGroup2_P34,SubGroup2
SubGroup2_P35,SubGroup2
SubGroup2_P36,SubGroup2
SubGroup2_P4,SubGroup2
SubGroup2_P5,SubGroup2
SubGroup2_P6,SubGroup2
SubGroup2_P7,SubGroup2
SubGroup2_P8,SubGroup2
SubGroup2_P9,SubGroup2
SubGroup2_Q1,SubGroup2
SubGroup2_Q10,SubGroup2
SubGroup2_Q11,SubGroup2
SubGroup2_Q12,SubGroup2
SubGroup2_Q13,SubGroup2
SubGroup2_Q14,SubGroup2
SubGroup2_Q15,SubGroup2
SubGroup2_Q16,SubGroup2
SubGroup2_Q17,SubGroup2
SubGroup2_Q18,SubGroup2
SubGroup2_Q19,SubGroup2
SubGroup2_Q2,SubGroup2
SubGroup2_Q20,SubGroup2
SubGroup2_Q21,SubGroup2
SubGroup2_Q22,SubGroup2
SubGroup2_Q23,SubGroup2
SubGroup2_Q24,SubGroup2
SubGroup2_Q25,SubGroup2
SubGroup2_Q26,SubGroup2
SubGroup2_Q27,SubGroup2
SubGroup2_Q28,SubGroup2
SubGroup2_Q29,SubGroup2
SubGroup2_Q3,SubGroup2
SubGroup2_Q30,SubGroup2
SubGroup2_Q31,SubGroup2
SubGroup2_Q32,SubGroup2
SubGroup2_Q33,SubGroup2
SubGroup2_Q34,SubGroup2
SubGroup2_Q35,SubGroup2
SubGroup2_Q36,SubGroup2
SubGroup2_Q37,SubGroup2
SubGroup2_Q38,SubGroup2
SubGroup2_Q39,SubGroup2
SubGroup2_Q4,SubGroup2
SubGroup2_Q40,SubGroup2
SubGroup2_Q41,SubGroup2
SubGroup2_Q42,SubGroup2
SubGroup2_Q43,SubGroup2
SubGroup2_Q44,SubGroup2
SubGroup2_Q45,SubGroup2
SubGroup2_Q46,SubGroup2
SubGroup2_Q47,SubGroup2
SubGroup2_Q48,SubGroup2
SubGroup2_Q49,SubGroup2
SubGroup2_Q5,SubGroup2
SubGroup2_Q50,SubGroup2
SubGroup2_Q51,SubGroup2
SubGroup2_Q52,SubGroup2
SubGroup2_Q53,SubGroup2
SubGroup2_Q54,SubGroup2
SubGroup2_Q55,SubGroup2
SubGroup2_Q56,SubGroup2
SubGroup2_Q57,SubGroup2
SubGroup2_Q58,SubGroup2
SubGroup2_Q59,SubGroup2
SubGroup2_Q6,SubGroup2
SubGroup2_Q60,SubGroup2
SubGroup2_Q61,SubGroup2
SubGroup2_Q62,SubGroup2
SubGroup2_Q63,SubGroup2
SubGroup2_Q64,SubGroup2
SubGroup2_Q65,SubGroup2
SubGroup2_Q66,SubGroup2
SubGroup2_Q7,SubGroup2
SubGroup2_Q8,SubGroup2
SubGroup2_Q9,SubGroup2
SubGroup2_R1,SubGroup2
SubGroup2_R10,SubGroup2
SubGroup2_R11,SubGroup2
SubGroup2_R12,SubGroup2
SubGroup2_R13,SubGroup2
SubGroup2_R14,SubGroup2
SubGroup2_R15,SubGroup2
SubGroup2_R16,SubGroup2
SubGroup2_R17,SubGroup2
SubGroup2_R18,SubGroup2
SubGroup2_R19,SubGroup2
SubGroup2_R2,SubGroup2
SubGroup2_R20,SubGroup2
SubGroup2_R21,SubGroup2
SubGroup2_R22,SubGroup2
SubGroup2_R23,SubGroup2
SubGroup2_R24,SubGroup2
SubGroup2_R25,SubGroup2
SubGroup2_R26,SubGroup2
SubGroup2_R27,SubGroup2
SubGroup2_R28,SubGroup2
SubGroup2_R29,SubGroup2
SubGroup2_R3,SubGroup2
SubGroup2_R30,SubGroup2
SubGroup2_R31,SubGroup2
SubGroup2_R32,SubGroup2
SubGroup2_R33,SubGroup2
SubGroup2_R34,SubGroup2
SubGroup2_R35,SubGroup2
SubGroup2_R36,SubGroup2
SubGroup2_R37,SubGroup2
SubGroup2_R38,SubGroup2
SubGroup2_R39,SubGroup2
SubGroup2_R4,SubGroup2
SubGroup2_R40,SubGroup2
SubGroup2_R41,SubGroup2
SubGroup2_R42,SubGroup2
SubGroup2_R43,SubGroup2
SubGroup2_R44,SubGroup2
SubGroup2_R45,SubGroup2
SubGroup2_R46,SubGroup2
SubGroup2_R47,SubGroup2
SubGroup2_R48,SubGroup2
SubGroup2_R49,SubGroup2
SubGroup2_R5,SubGroup2
SubGroup2_R50,SubGroup2
SubGroup2_R6,SubGroup2
SubGroup2_R7,SubGroup2
SubGroup2_R8,SubGroup2
SubGroup2_R9,SubGroup2
SubGroup2_S1,SubGroup2
SubGroup2_S10,SubGroup2
SubGroup2_S11,SubGroup2
SubGroup2_S12,SubGroup2
SubGroup2_S13,SubGroup2
SubGroup2_S14,SubGroup2
SubGroup2_S15,SubGroup2
SubGroup2_S16,SubGroup2
SubGroup2_S17,SubGroup2
SubGroup2_S18,SubGroup2
SubGroup2_S19,SubGroup2
SubGroup2_S2,SubGroup2
SubGroup2_S20,SubGroup2
SubGroup2_S21,SubGroup2
SubGroup2_S22,SubGroup2
SubGroup2_S23,SubGroup2
SubGroup2_S24,SubGroup2
SubGroup2_S25,SubGroup2
SubGroup2_S26,SubGroup2
SubGroup2_S27,SubGroup2
SubGroup2_S28,SubGroup2
SubGroup2_S29,SubGroup2
SubGroup2_S3,SubGroup2
SubGroup2_S30,SubGroup2
SubGroup2_S31,SubGroup2
SubGroup2_S32,SubGroup2
SubGroup2_S33,SubGroup2
SubGroup2_S34,SubGroup2
SubGroup2_S35,SubGroup2
SubGroup2_S36,SubGroup2
SubGroup2_S37,SubGroup2
SubGroup2_S38,SubGroup2
SubGroup2_S39,SubGroup2
SubGroup2_S4,SubGroup2
SubGroup2_S40,SubGroup2
SubGroup2_S41,SubGroup2
SubGroup2_S5,SubGroup2
SubGroup2_S6,SubGroup2
SubGroup2_S7,SubGroup2
SubGroup2_S8,SubGroup2
SubGroup2_S9,SubGroup2
SubGroup2_T1,SubGroup2
SubGroup2_T10,SubGroup2
SubGroup2_T11,SubGroup2
SubGroup2_T12,SubGroup2
SubGroup2_T13,SubGroup2
SubGroup2_T14,SubGroup2
SubGroup2_T15,SubGroup2
SubGroup2_T16,SubGroup2
SubGroup2_T17,SubGroup2
SubGroup2_T18,SubGroup2
SubGroup2_T19,SubGroup2
SubGroup2_T2,SubGroup2
SubGroup2_T20,SubGroup2
SubGroup2_T21,SubGroup2
SubGroup2_T22,SubGroup2
SubGroup2_T23,SubGroup2
SubGroup2_T24,SubGroup2
SubGroup2_T25,SubGroup2
SubGroup2_T26,SubGroup2
SubGroup2_T27,SubGroup2
SubGroup2_T28,SubGroup2
SubGroup2_T29,SubGroup2
SubGroup2_T3,SubGroup2
SubGroup2_T30,SubGroup2
SubGroup2_T31,SubGroup2
SubGroup2_T32,SubGroup2
SubGroup2_T33,SubGroup2
SubGroup2_T34,SubGroup2
SubGroup2_T4,SubGroup2
SubGroup2_T5,SubGroup2
SubGroup2_T6,SubGroup2
SubGroup2_T7,SubGroup2
SubGroup2_T8,SubGroup2
SubGroup2_T9,SubGroup2
SubGroup2_U1,SubGroup2
SubGroup2_U10,SubGroup2
SubGroup2_U11,SubGroup2
SubGroup2_U12,SubGroup2
SubGroup2_U13,SubGroup2
SubGroup2_U14,SubGroup2
SubGroup2_U15,SubGroup2
SubGroup2_U16,SubGroup2
SubGroup2_U17,SubGroup2
SubGroup2_U18,SubGroup2
SubGroup2_U19,SubGroup2
SubGroup2_U2,SubGroup2
SubGroup2_U20,SubGroup2
SubGroup2_U21,SubGroup2
SubGroup2_U3,SubGroup2
SubGroup2_U4,SubGroup2
SubGroup2_U5,SubGroup2
SubGroup2_U6,SubGroup2
SubGroup2_U7,SubGroup2
SubGroup2_U8,SubGroup2
SubGroup2_U9,SubGroup2
Occupation_Employed,Occupation
Occupation_Housewife,Occupation
Occupation_Retired,Occupation
Occupation_Self-employed,Occupation
Occupation_Unemployed,Occupation
Gender_Female,Gender
Gender_Male,Gender
Type_A,Type
Type_B,Type
Type_C,Type
Type_D,Type
Type_E,Type
Type_F,Type
Category_Large,Category
Category_Medium,Category
Category_Small,Category
Adind_0,Adind
Adind_1,Adind
