"Gender","Age.ct","Age","Bonus","GroupOne","Density","Value","Insurancescore","Exppdays","Numtppd","Indtppd","ClaimSeverity"
"Female",61,"9","14","13",284.9991194,12555,0.0463815568472072,249,1,325.51155478,325.51155478
"Male",33,"4","7","5",103.9493988,10605,0.102057285394689,365,0,0,NA
"Female",34,"4","1","13",253.6198858,9240,0.118419329927189,365,0,0,NA
"Male",66,"10","1","16",276.3355652,28120,0.043931352940406,365,0,0,NA
"Male",20,"1","5","8",25.83086908,18530,0.301306227252154,365,1,1650.6473224,1650.6473224
"Female",29,"3","20","11",49.11503947,9510,0.118628090267757,365,0,0,NA
"Male",51,"7","1","11",113.2248348,23935,0.108197262077997,365,0,0,NA
"Male",35,"4","3","17",54.19066433,17790,0.0808102537595607,365,0,0,NA
"Male",52,"7","5","5",232.9029787,11135,0.130670447878527,365,0,0,NA
"Male",46,"6","1","6",91.28099321,8030,0.10781372085705,365,0,0,NA
"Male",30,"3","1","8",297.3851697,14995,0.197038529393107,201,0,0,NA
"Male",27,"2","8","3",112.4047945,13800,0.224166810484577,183,0,0,NA
"Male",51,"7","3","1",147.9690558,4320,0.107804716412546,365,0,0,NA
"Male",71,"11","3","6",212.4247054,1885,0.0464647057442911,187,0,0,NA
"Female",74,"11","2","15",221.7063984,17290,0.0593481489843928,365,0,0,NA
"Female",50,"7","7","14",58.89468755,18045,0.0565937684704262,195,0,0,NA
"Male",26,"2","10","11",59.70218923,5780,0.131250905004273,365,0,0,NA
"Male",38,"5","2","16",103.2132915,31160,0.103405619042034,365,0,0,NA
"Female",19,"1","5","13",129.6779531,18570,0.249326390155868,365,0,0,NA
"Male",69,"11","1","9",259.0040603,9815,0.0593481489843928,365,0,0,NA
"Female",43,"6","5","9",156.6298557,17515,0.150831056402994,110,0,0,NA
"Female",50,"7","3","6",144.998902,21935,0.0826313110355394,302,1,268.43693055,268.43693055
"Male",73,"11","2","17",249.7835716,25010,0.0573816717375168,365,0,0,NA
"Male",22,"1","2","10",148.9956325,7970,0.282951801440088,185,0,0,NA
"Female",72,"11","2","5",256.6405915,6235,0.201823315853031,365,0,0,NA
"Female",25,"2","1","14",61.11231366,4795,0.174507853768384,242,0,0,NA
"Male",71,"11","2","14",295.7970919,32955,0.157662925179354,365,0,0,NA
"Male",40,"5","4","13",60.07300249,23645,0.0757834017957096,365,0,0,NA
"Male",48,"7","1","14",36.54260314,21215,0.0728077573060774,365,0,0,NA
"Male",72,"11","10","16",31.84882285,14505,0.069792926581222,365,0,0,NA
"Female",28,"3","6","18",211.8309492,16800,0.201360229176275,365,0,0,NA
"Female",66,"10","4","17",23.03273294,1770,0.022386009861571,365,0,0,NA
"Male",37,"4","1","13",139.2830008,10990,0.143556302036525,365,0,0,NA
"Male",25,"2","3","18",137.8151761,17620,0.192041531605294,190,0,0,NA
"Male",40,"5","16","14",46.84863153,19160,0.120292546695182,365,0,0,NA
"Male",25,"2","6","16",51.09148195,29030,0.144436816690172,365,2,1771.6111533,885.80557665
"Female",35,"4","7","8",213.2556548,11575,0.094689260571668,365,0,0,NA
"Male",53,"8","4","11",69.72819603,15560,0.0604682687627146,281,0,0,NA
"Female",33,"4","1","2",232.9029787,29380,0.137272230511821,365,0,0,NA
"Male",23,"2","8","17",31.81625935,27975,0.119869110235616,151,0,0,NA
"Male",33,"4","1","12",270.874006,34425,0.144132195305289,365,0,0,NA
"Male",65,"10","3","13",107.8170529,26790,0.0519427456008647,365,0,0,NA
"Male",54,"8","4","17",201.6569069,9345,0.0452768085728473,365,0,0,NA
"Male",57,"8","3","8",21.95355362,16935,0.0558809183670396,365,0,0,NA
"Male",21,"1","6","11",166.5549379,27735,0.27602180581126,293,0,0,NA
"Male",62,"9","1","7",141.4896565,20885,0.0433571324421345,365,0,0,NA
"Male",46,"6","1","14",250.8413259,9165,0.0773982674239726,365,0,0,NA
"Male",63,"10","3","4",36.9071711,9700,0.0185000317978441,365,0,0,NA
"Male",49,"7","6","6",256.6405915,2080,0.110528018479941,205,0,0,NA
"Male",46,"6","4","12",103.9493988,17730,0.0787746524854292,365,0,0,NA
"Female",49,"7","4","9",222.711392,26285,0.203105685292206,365,0,0,NA
"Male",49,"7","8","9",249.7835716,6085,0.116815005092848,365,0,0,NA
"Female",22,"1","13","11",32.4149606,10965,0.187748704560453,365,0,0,NA
"Female",18,"1","6","7",103.9493988,7015,0.182864331785083,135,0,0,NA
"Male",26,"2","1","4",237.4189585,11515,0.31931501368412,365,0,0,NA
"Female",59,"9","1","16",208.6667182,14100,0.129628124590849,365,0,0,NA
"Female",49,"7","1","15",44.79860971,47760,0.0589618500137894,329,0,0,NA
"Male",25,"2","15","18",72.01288299,15080,0.159246654432518,365,1,362.61951909,362.61951909
"Female",24,"2","3","9",232.9029787,3820,0.308154905025404,365,0,0,NA
"Male",39,"5","9","10",218.9832303,12180,0.200686695809313,365,0,0,NA
"Female",54,"8","11","16",284.2162652,8670,0.134185757204787,352,0,0,NA
"Female",38,"5","4","11",76.05272599,14235,0.0980881223536489,365,0,0,NA
"Female",49,"7","2","11",73.18307109,4790,0.113339512456035,365,0,0,NA
"Male",60,"9","12","17",100.833778,39810,0.0967651621369361,365,0,0,NA
"Female",59,"9","7","10",30.46244233,5400,0.0564252529738356,193,0,0,NA
"Male",25,"2","6","13",58.60474559,9810,0.179376042688604,162,0,0,NA
"Female",36,"4","9","15",237.675525,23565,0.0961456444714844,365,0,0,NA
"Male",38,"5","5","12",156.6298557,18065,0.139380679579174,365,0,0,NA
"Male",61,"9","1","11",60.86038525,9435,0.0270604292649373,365,0,0,NA
"Male",57,"8","1","1",44.79860971,19295,0.0898115019597445,365,0,0,NA
"Male",20,"1","6","14",81.90993935,44665,0.232853175491397,365,0,0,NA
"Female",47,"6","1","4",171.3729361,2655,0.0369554824156113,365,0,0,NA
"Female",37,"4","1","11",73.85052034,29110,0.0678211921407644,209,0,0,NA
"Male",20,"1","9","11",39.55041059,22370,0.210817021804111,365,1,495.59481721,495.59481721
"Male",74,"11","2","15",87.83581964,3550,0.0322539465253889,365,0,0,NA
"Female",72,"11","2","13",65.3447011,21940,0.0295581693809254,365,0,0,NA
"Male",45,"6","3","11",98.10372854,13690,0.113275280964598,365,0,0,NA
"Female",23,"2","19","16",284.2162652,44325,0.285807738179875,365,0,0,NA
"Male",56,"8","2","6",61.56398846,18490,0.0311035161322307,365,0,0,NA
"Male",65,"10","1","8",290.1327193,21690,0.04738468590688,220,0,0,NA
"Female",42,"5","21","11",169.5291484,39650,0.140901750546756,365,2,1178.3822719,589.19113595
"Female",49,"7","2","4",35.43401501,24355,0.0525468316420522,232,0,0,NA
"Male",54,"8","1","13",125.1320458,28840,0.0593773530018525,365,0,0,NA
"Female",32,"3","5","7",114.1413271,9015,0.133139642355309,312,0,0,NA
"Female",32,"3","12","10",44.37542252,18040,0.0927965982526609,365,0,0,NA
"Male",47,"6","3","10",35.57652753,6285,0.0745076954578022,365,0,0,NA
"Male",53,"8","6","15",76.98652096,16215,0.0922274261757746,365,0,0,NA
"Male",31,"3","1","5",167.9366556,6350,0.120839405071546,365,0,0,NA
"Female",43,"6","2","14",106.5803023,16845,0.0585308768132321,365,0,0,NA
"Male",48,"7","5","13",114.1413271,17770,0.110409488871063,286,0,0,NA
"Female",21,"1","6","5",58.89468755,12600,0.235733165640006,365,1,283.30576126,283.30576126
"Male",30,"3","11","1",23.97168003,9675,0.124465470385118,365,0,0,NA
"Male",41,"5","1","10",239.4551701,4915,0.109410429866529,365,0,0,NA
"Male",66,"10","1","15",275.0923407,8370,0.0950358239433992,365,0,0,NA
"Female",33,"4","9","12",109.6318854,9065,0.117863346571645,365,2,417.95558798,208.97779399
"Female",26,"2","10","13",47.98269849,27335,0.234503650732395,365,1,119.03499936,119.03499936
"Female",55,"8","2","14",66.76541883,36055,0.0211071227204461,234,0,0,NA
"Male",41,"5","1","8",61.79475865,24985,0.082609423437896,159,0,0,NA
"Male",34,"4","1","19",24.11879116,9405,0.102712272731078,139,0,0,NA
"Female",30,"3","1","5",141.4896565,9475,0.212318784221675,365,0,0,NA
"Female",49,"7","2","14",24.82652767,19035,0.077183768960563,365,0,0,NA
"Female",19,"1","6","4",83.76263662,2970,0.238218633898731,365,0,0,NA
"Female",20,"1","14","7",77.73738533,7710,0.307374147251927,365,1,1302.0362651,1302.0362651
"Male",54,"8","12","15",19.2164848,45810,0.0185753503400539,365,0,0,NA
"Male",37,"4","3","16",100.9312267,10195,0.0968085347863768,365,0,0,NA
"Male",40,"5","1","13",25.91743539,10270,0.0649260526681617,365,0,0,NA
"Male",22,"1","12","11",55.96459579,11790,0.216094803262336,180,0,0,NA
"Male",33,"4","9","14",35.57652753,20190,0.0703400482234312,365,0,0,NA
"Male",35,"4","3","16",91.28099321,4065,0.120876088293984,181,0,0,NA
"Male",48,"7","9","10",24.82652767,29695,0.0501010723094288,365,0,0,NA
"Female",22,"1","7","2",182.367931,21700,0.314768640693224,365,0,0,NA
"Male",69,"11","2","9",276.9950185,2110,0.0645800419969387,207,0,0,NA
"Male",26,"2","4","12",129.6779531,16700,0.174507853768384,365,0,0,NA
"Male",32,"3","11","12",66.46782671,23805,0.149108962461677,116,0,0,NA
"Female",32,"3","1","11",100.9312267,17165,0.124904474578039,365,0,0,NA
"Female",23,"2","4","6",24.11879116,9305,0.131674883719581,181,0,0,NA
"Female",61,"9","1","18",94.36462339,22840,0.137943170801345,365,0,0,NA
"Male",42,"5","1","9",259.0040603,12265,0.124927463957831,365,0,0,NA
"Male",20,"1","6","4",189.9730181,5345,0.317670942498443,138,0,0,NA
"Male",58,"9","12","10",100.3048589,13975,0.0509294953587802,365,0,0,NA
"Male",53,"8","1","8",207.1446249,10255,0.0694853797807575,365,0,0,NA
"Female",29,"3","2","13",106.5583041,21745,0.168984917494281,305,0,0,NA
"Female",29,"3","4","3",272.9669948,8965,0.191438243201081,365,1,2873.9964765,2873.9964765
"Male",34,"4","3","13",114.1413271,13805,0.133332949225879,365,0,0,NA
"Male",49,"7","1","10",122.4496948,9570,0.109040525759214,365,0,0,NA
"Male",51,"7","1","12",88.95152383,12295,0.123621989944172,365,0,0,NA
"Male",43,"6","1","8",201.3918071,20055,0.135491014010727,365,0,0,NA
"Male",31,"3","2","3",251.432848,21030,0.265384454366509,355,1,131.88431387,131.88431387
"Male",67,"10","4","16",85.63166734,22560,0.0247257485057523,365,0,0,NA
"Male",58,"9","21","4",91.55064058,3810,0.0470014389060932,352,0,0,NA
"Female",54,"8","3","11",216.4916013,8245,0.122036171176938,137,0,0,NA
"Female",63,"10","3","19",112.4047945,38265,0.0999975506131052,187,0,0,NA
"Female",42,"5","1","15",296.4319078,12575,0.124927463957831,309,0,0,NA
"Male",48,"7","2","11",129.3156084,8310,0.032910766540032,365,0,0,NA
"Male",27,"2","4","9",58.91132801,8265,0.204827038461109,365,0,0,NA
"Female",18,"1","6","14",95.69355223,47560,0.27943417342566,365,0,0,NA
"Female",22,"1","14","6",132.7922667,27770,0.262761563504539,365,0,0,NA
"Male",65,"10","18","3",112.8034383,45825,0.0931379705311779,365,0,0,NA
"Female",54,"8","2","7",29.43246223,2690,0.0692375866345011,365,0,0,NA
"Male",58,"9","12","8",103.2132915,8630,0.101097826695075,365,0,0,NA
"Female",33,"4","1","3",208.6667182,9095,0.0916658841712209,352,0,0,NA
"Male",57,"8","3","9",47.5930722,19560,0.0657418811829614,365,0,0,NA
"Male",35,"4","18","7",144.998902,19995,0.115095623373833,365,1,8.9102846423,8.9102846423
"Male",55,"8","2","4",99.17167477,30115,0.0664558473727933,365,0,0,NA
"Female",24,"2","6","10",201.3918071,23095,0.236103123086279,207,0,0,NA
"Female",39,"5","3","15",222.6929824,18370,0.127592857797168,166,0,0,NA
"Female",25,"2","6","11",23.58652635,9130,0.152403362502532,226,0,0,NA
"Male",27,"2","9","11",166.5549379,18395,0.220247246166869,365,1,1996.402213,1996.402213
"Female",43,"6","10","2",222.6929824,9135,0.13748201627824,365,0,0,NA
"Female",65,"10","3","9",223.3085718,11880,0.126390976040232,365,1,115.28517876,115.28517876
"Male",61,"9","7","15",58.30755679,4400,0.0203966005388325,365,0,0,NA
"Male",75,"11","3","17",270.874006,11560,0.051805475569407,365,0,0,NA
"Male",61,"9","2","1",208.8164363,24255,0.0555018012924861,365,0,0,NA
"Female",25,"2","8","9",107.8170529,23130,0.267186787707501,365,1,79.298610448,79.298610448
"Female",46,"6","1","9",223.3085718,21685,0.15489635583168,200,0,0,NA
"Male",24,"2","11","13",32.9239514,15680,0.190599135425865,365,1,581.18344159,581.18344159
"Male",45,"6","1","14",63.50810856,42705,0.078175879459345,365,0,0,NA
"Male",18,"1","6","20",37.74768396,35460,0.203782620288154,285,0,0,NA
"Male",52,"7","2","16",24.81697854,41215,0.0620924895446535,240,0,0,NA
"Male",61,"9","9","4",181.4165594,8855,0.0305860015653385,154,0,0,NA
"Male",37,"4","20","14",61.94412023,14210,0.0645668913446557,323,0,0,NA
"Female",20,"1","4","17",73.46170633,41745,0.192446786445544,365,0,0,NA
"Male",52,"7","3","14",167.9366556,8005,0.139100239927434,365,0,0,NA
"Female",41,"5","5","15",153.4523215,6905,0.127592857797168,264,0,0,NA
"Female",51,"7","2","5",225.0430894,10995,0.0616415685810657,365,0,0,NA
"Female",46,"6","18","6",34.81095528,45345,0.076157245742957,365,0,0,NA
"Male",55,"8","7","5",58.59040352,1595,0.0270389414826441,365,0,0,NA
"Male",25,"2","3","11",99.28308074,44655,0.280064642622792,190,0,0,NA
"Male",25,"2","1","5",291.3194903,19515,0.306928706848598,328,0,0,NA
"Male",21,"1","8","11",102.818883,33920,0.349653102225331,365,1,131.62049337,131.62049337
"Female",40,"5","5","10",183.8950396,15450,0.145190435294097,365,0,0,NA
"Male",34,"4","21","11",25.22514012,4035,0.064925352924563,365,0,0,NA
"Female",55,"8","15","13",208.8164363,9195,0.159854702429134,257,0,0,NA
"Female",66,"10","1","8",25.00982043,19015,0.0498399706367021,365,0,0,NA
"Female",41,"5","1","7",109.6318854,16760,0.0980163929701074,228,0,0,NA
"Male",42,"5","1","12",168.6499611,22125,0.0864807526605667,365,0,0,NA
"Female",29,"3","1","9",32.2125563,11370,0.0882366281152269,365,1,311.90539284,311.90539284
"Female",35,"4","1","10",84.9609991,7250,0.0562466694032621,365,0,0,NA
"Male",22,"1","5","14",285.6217445,23130,0.40758232752591,365,1,569.08307239,569.08307239
"Male",71,"11","3","12",248.5121203,31870,0.0508428019353122,112,0,0,NA
"Male",44,"6","14","11",256.6405915,12285,0.146180613171433,365,0,0,NA
"Female",33,"4","1","8",297.3851697,1480,0.145377845021536,148,0,0,NA
"Female",21,"1","4","18",112.4047945,8695,0.322537611017068,365,1,1350.6493574,1350.6493574
"Male",57,"8","1","12",33.73278519,17295,0.0608921047167307,365,0,0,NA
"Male",40,"5","4","9",27.92054451,8360,0.0698934616044899,365,0,0,NA
"Male",43,"6","5","14",17.11532415,9835,0.0745041621137742,189,0,0,NA
"Male",41,"5","1","8",45.66982293,3830,0.0662375394507231,217,0,0,NA
"Male",31,"3","6","15",141.4896565,25780,0.137324125793342,365,0,0,NA
"Female",70,"11","3","16",150.2239631,15535,0.036430820951056,365,0,0,NA
"Male",49,"7","2","5",258.9237292,26970,0.113173481137646,218,0,0,NA
"Female",26,"2","10","6",73.18307109,15235,0.193424564620341,223,0,0,NA
"Female",24,"2","7","16",51.32331561,5325,0.174507853768384,365,0,0,NA
"Female",59,"9","11","10",34.81202424,8030,0.0278607706795964,293,0,0,NA
"Male",27,"2","2","11",91.54176264,29075,0.204745106281971,365,0,0,NA
"Female",38,"5","7","13",174.6445246,26215,0.0915406699731598,265,0,0,NA
"Female",19,"1","5","2",295.7970919,5680,0.335531623195782,94,0,0,NA
"Male",58,"9","4","17",58.59040352,5935,0.0522322477552194,365,0,0,NA
"Male",19,"1","5","8",129.4194752,4690,0.330102971645119,212,0,0,NA
"Male",41,"5","3","4",168.6499611,13480,0.0939672746467295,365,0,0,NA
"Male",18,"1","6","8",297.3851697,11925,0.276700524120428,365,2,3137.6743873,1568.83719365
"Male",52,"7","3","18",73.46170633,15855,0.0962621795350805,265,0,0,NA
"Female",45,"6","6","14",76.05272599,11340,0.0834702480836364,365,0,0,NA
"Male",37,"4","6","20",201.3918071,25945,0.0989391580085378,365,0,0,NA
"Female",32,"3","18","14",91.45292269,25930,0.2039542624455,365,0,0,NA
"Female",47,"6","1","9",213.2556548,9605,0.0969608089883716,365,0,0,NA
"Male",30,"3","1","10",91.45292269,26515,0.150136781809912,365,0,0,NA
"Male",54,"8","1","14",284.2162652,6115,0.132221646137702,365,0,0,NA
"Male",21,"1","4","9",32.04149695,5145,0.250148733149506,365,0,0,NA
"Male",60,"9","1","14",118.8510133,23405,0.0667026938746182,365,0,0,NA
"Female",19,"1","6","16",253.6198858,48390,0.289818584618057,365,0,0,NA
"Female",49,"7","1","14",210.189841,15320,0.141245714885075,365,0,0,NA
"Male",31,"3","12","17",71.62174491,6625,0.14187613145371,365,0,0,NA
"Female",31,"3","1","19",59.40378524,15285,0.171649112438374,365,0,0,NA
"Male",45,"6","1","8",73.65271862,4795,0.0755524377824337,365,0,0,NA
"Male",25,"2","1","12",63.50810856,19870,0.193168341552116,365,0,0,NA
"Male",20,"1","6","14",58.81986821,45335,0.216094803262336,365,0,0,NA
"Male",34,"4","11","6",31.49128874,4190,0.0785471571547316,365,1,466.04115186,466.04115186
"Male",52,"7","2","10",276.9454965,6900,0.164520806468768,303,0,0,NA
"Male",25,"2","6","8",87.14669097,8265,0.205609958577549,365,0,0,NA
"Male",40,"5","3","10",36.9071711,24595,0.0511800416565464,365,0,0,NA
"Male",49,"7","1","4",33.29429778,8635,0.0250985963421667,365,0,0,NA
"Female",31,"3","18","13",160.3435748,32200,0.238308524618772,365,0,0,NA
"Female",24,"2","2","10",162.9324677,6915,0.258728888665917,365,0,0,NA
"Female",42,"5","1","4",136.1308048,17050,0.124270169140421,365,0,0,NA
"Female",21,"1","3","6",160.3435748,27220,0.28322972968408,284,0,0,NA
"Male",54,"8","11","10",181.4165594,19705,0.0795987521296569,365,0,0,NA
"Male",26,"2","1","11",222.2151274,48990,0.238138808948946,200,0,0,NA
"Female",52,"7","1","12",64.09908451,21570,0.0727599055423081,188,0,0,NA
"Female",18,"1","6","12",73.26206886,21700,0.180423827640154,365,0,0,NA
"Male",54,"8","4","9",47.58194704,19030,0.0868645601248606,365,0,0,NA
"Male",27,"2","2","6",21.45273029,19025,0.192341271183677,340,0,0,NA
"Female",29,"3","9","7",184.4785165,24640,0.278636728949376,365,0,0,NA
"Female",32,"3","8","4",58.89468755,1805,0.132944206871031,365,0,0,NA
"Female",66,"10","1","13",290.1327193,27005,0.043931352940406,365,0,0,NA
"Female",49,"7","6","20",73.18307109,25750,0.0721628476466506,365,0,0,NA
"Male",33,"4","4","8",24.13748405,28200,0.0682083294533168,365,0,0,NA
"Male",46,"6","2","3",28.49395606,18360,0.0973736637197581,317,0,0,NA
"Male",55,"8","12","10",88.89623143,22600,0.0313687870604108,365,0,0,NA
"Male",40,"5","18","13",31.60580864,14015,0.0689613640080165,365,0,0,NA
"Male",39,"5","3","6",126.1401885,25615,0.143312161811517,365,0,0,NA
"Male",44,"6","1","4",56.11415278,6215,0.0957638877988397,201,0,0,NA
"Male",19,"1","6","13",118.8510133,23530,0.256692193216657,365,0,0,NA
"Female",42,"5","1","8",284.1301175,16725,0.153374896204221,365,0,0,NA
"Male",37,"4","4","9",76.05272599,21365,0.0952071160990517,365,0,0,NA
"Male",62,"9","1","14",25.52342981,34210,0.0241254457443789,316,0,0,NA
"Female",58,"9","1","5",24.84670738,13785,0.054196620621825,365,0,0,NA
"Male",64,"10","3","15",64.32860507,16965,0.0706269995701909,365,0,0,NA
"Male",55,"8","1","12",67.84790756,16875,0.0768958573259818,365,0,0,NA
"Male",41,"5","21","5",62.06252553,5020,0.0697576327469536,365,1,367.98037355,367.98037355
"Male",35,"4","1","8",73.26206886,3635,0.0862916426414471,365,0,0,NA
"Male",39,"5","2","13",185.1345389,8310,0.133159162258923,365,0,0,NA
"Male",58,"9","3","20",58.30755679,37100,0.0585119452676261,365,0,0,NA
"Female",29,"3","6","4",256.6405915,41780,0.225948910067781,365,0,0,NA
"Male",65,"10","1","6",126.1401885,29115,0.0731269994588523,336,0,0,NA
"Male",48,"7","15","6",76.50537468,18335,0.0628217395596214,365,1,740.44017273,740.44017273
"Male",43,"6","8","2",221.7063984,38310,0.150703709335083,365,0,0,NA
"Female",31,"3","4","5",126.1401885,12325,0.147631365908884,267,0,0,NA
"Male",21,"1","3","9",66.94554904,6050,0.176198764143016,365,1,249.0305859,249.0305859
"Female",51,"7","1","15",30.41139927,20005,0.0809959590780921,365,0,0,NA
"Female",33,"4","1","9",64.09908451,15260,0.0767784588768557,365,0,0,NA
"Female",48,"7","8","9",186.6850127,6400,0.0869415079442978,156,0,0,NA
"Female",25,"2","5","12",73.25249905,25775,0.166648821703351,365,0,0,NA
"Female",56,"8","7","15",128.5434648,5035,0.0541921655393328,278,0,0,NA
"Male",69,"11","1","20",31.06929242,17675,0.0273883826688135,365,0,0,NA
"Male",22,"1","7","11",88.95152383,26385,0.248479601274978,365,0,0,NA
"Female",71,"11","1","15",201.3918071,37820,0.0495160911723656,365,0,0,NA
"Male",55,"8","1","16",59.92134979,13340,0.107711481833096,365,0,0,NA
"Male",73,"11","3","3",253.6198858,13125,0.155054830372226,162,0,0,NA
"Female",32,"3","2","7",129.4194752,28930,0.157549862462489,338,0,0,NA
"Female",41,"5","2","12",75.62345843,9225,0.0612049548681792,365,0,0,NA
"Male",40,"5","20","3",70.86106124,9155,0.0870241973351938,365,0,0,NA
"Male",47,"6","2","13",297.3851697,5280,0.144781629487791,105,0,0,NA
"Male",52,"7","9","16",223.3085718,22105,0.0498451709646979,365,0,0,NA
"Male",25,"2","13","3",30.79695284,11075,0.178918983741982,365,0,0,NA
"Male",41,"5","9","6",100.3048589,21630,0.0867279945044731,365,0,0,NA
"Female",49,"7","2","6",49.59668535,18320,0.0873158259541369,365,0,0,NA
"Female",18,"1","6","8",74.57233929,8850,0.213473143465992,365,0,0,NA
"Female",59,"9","14","5",201.3918071,16800,0.138616148556247,365,0,0,NA
"Male",19,"1","10","13",185.1345389,8345,0.2093160728932,365,0,0,NA
"Female",38,"5","1","9",184.4785165,3540,0.135540646424216,224,0,0,NA
"Male",43,"6","16","13",147.9690558,8615,0.0806294257839004,156,0,0,NA
"Male",71,"11","3","12",19.2164848,13135,0.0197314682866732,365,0,0,NA
"Female",38,"5","1","2",256.6405915,14065,0.155042316199661,365,0,0,NA
"Female",61,"9","1","8",61.51657295,2770,0.10093256179246,365,0,0,NA
"Male",36,"4","2","2",24.03270395,12650,0.0527469497068621,276,0,0,NA
"Female",34,"4","1","5",106.5803023,8870,0.0698553420901777,365,0,0,NA
"Male",27,"2","12","7",169.5291484,27630,0.190358582545202,365,2,517.53725088,258.76862544
"Male",53,"8","3","7",48.3306937,23615,0.0536413738498814,365,0,0,NA
"Female",47,"6","2","18",270.7883545,41845,0.114087954619264,365,1,1857.3712002,1857.3712002
"Female",29,"3","5","9",284.2162652,6060,0.184026552390903,219,0,0,NA
"Male",72,"11","3","9",20.86448407,16520,0.0329633462967855,289,0,0,NA
"Male",37,"4","6","8",73.18307109,23365,0.122077052256695,300,0,0,NA
"Female",22,"1","4","16",30.37476431,12655,0.167087719448668,365,0,0,NA
"Female",23,"2","6","12",248.5121203,27910,0.304540040509973,134,0,0,NA
"Male",40,"5","1","9",272.9669948,8750,0.124610947178977,117,0,0,NA
